"name","unp","instrument_uuid","ticker","share_kind"
"ЗАО ""БЕЛРАДИОПЭЙДЖ""","101190815","30d541ec","T4967-S0001","common"
"ЗАО ""Белреализация""","191113330","b7930223","T3891-S0001","common"
"ЗАО ""БЕЛРЕМНАСОС""","101186069","da3a1a69","T5547-S0001","common"
"ЗАО ""БЕЛРОБОТ""","100165656","5dfc6286","T4469-S0001","common"
"ЗАО ""БЕЛРОССПЛАВ""","100534194","b1dd0385","T5630-S0001","common"
"ЗАО ""Белсалттрэйд""","192605428","09ded559","T5448-S0001","common"
"ЗАО ""БЕЛСЕТАНТА""","191752773","5d509b29","T4200-S0001","common"
"ЗАО ""Белславинвест""","190832459","ba2a7fa2","T6428-S0001","common"
"ЗАО ""БЕЛСНАБПОДШИПНИК""","100371574","8edf1496","T5884-S0001","common"
"ЗАО ""БЕЛСОФТ""","300047729","51989be4","T4999-S0001","common"
"ЗАО ""БЕЛСОФТ ТЕХНОЛОГИИ""","193044502","09fdb585","T6160-S0001","common"
"ЗАО ""Белспецмонтажавтоматика""","500040293","b9c2e87b","T3761-S0001","common"
"ЗАО ""БЕЛСПЕЦЭНЕРГО""","100069059","e844fbeb","T2869-S0002","common"
"ЗАО ""БЕЛСПЕЦЭНЕРГО""","100069059","91db2b04","T2869-S0003P","preferred"
"ЗАО ""БЕЛСПОРТТЕХНИКА""","100522585","17c7456c","T4570-S0001","common"
"ЗАО ""БЕЛСТАТС""","100718421","3d236c76","T5610-S0001","common"
"ЗАО ""Бел Сток Кэпитал ЭксЕ""","193321958","be94b19b","T6410-S0001","common"
"ЗАО ""БЕЛСТРОЙТЕХНОЛОГИЯ""","101283675","5974f748","T5014-S0001","common"
"ЗАО ""БЕЛТАНК""","192722642","15393c69","T5843-S0001","common"
"ЗАО ""БЕЛТАТ-М""","101029311","6994e290","T4299-S0001","common"
"ЗАО ""БЕЛТЕКС ОПТИК""","500571210","170bf935","T6374-S0001","common"
"ЗАО ""БЕЛТЕПЛОМАШСТРОЙ""","190526229","3ac4e13b","T4960-S0001","common"
"ЗАО ""БЕЛТЕХМЕТ""","101294673","cbbc00c6","T5765-S0001","common"
"ЗАО ""БЕЛТЕХНОПРОМСЕРВИС""","100026476","2965eb0c","T6335-S0005","common"
"ЗАО ""БЕЛТЕХОСНАСТКА""","100921751","5d144f64","T5603-S0001","common"
"ЗАО ""БЕЛТИМ СБ""","190527159","9ac8db7f","T5844-S0001","common"
"ЗАО ""БЕЛТОПЭНЕРГО""","101090891","8f4d3530","T5543-S0001","common"
"ЗАО ""БелТЭН""","100043866","87c82730","T4150-S0001","common"
"ЗАО ""БЕЛТЯЖМАШ""","100625309","2bb2c3db","T4304-S0003","common"
"ЗАО ""БЕЛФАРМАЦЕВТИКА""","101212862","f6f146d4","T2694-S0001","common"
"ЗАО ""БелХард Групп""","101213657","32911cb7","T5319-S0004","common"
"ЗАО ""БЕЛХИМСЕРВИС""","100968447","d2d294e5","T6068-S0001","common"
"ЗАО ""БЕЛЭКОМЕДСЕРВИС""","101372499","08d34447","T5199-S0001","common"
"ЗАО ""БЕЛЭЛЕКТРОНКОМПЛЕКТ""","100542826","35f848e4","T2975-S0001","common"
"ЗАО ""Бел Энерджи Логистик Групп""","193208820","23230a9b","T6321-S0001","common"
"ЗАО ""БерезаГАЗавтосервис""","200329771","a70aea4c","T5865-S0001","common"
"ЗАО ""Береза-Лада""","200022104","c04d99dc","T5629-S0001","common"
"ЗАО ""БЕРОЛИНА""","100839215","b8b7b1c4","T4029-S0001","common"
"ЗАО ""Бетонверк-технология""","692142540","faaece95","T6392-S0001","common"
"ЗАО ""Биартрас""","600050008","2a2cd136","T2358-S0001","common"
"ЗАО ""БИЗНЕС АУТСОРСИНГ""","192995341","6debc6e3","T6128-S0001","common"
"ЗАО ""БИЗНЕСИНВЕСТЛИЗИНГ""","101248228","8bc8486f","T3817-S0003","common"
"ЗАО ""БизнесРент""","191483291","de31e547","T3585-S0001","common"
"ЗАО ""Бинор-М""","101111169","e4617200","T5783-S0001","common"
"ЗАО ""БИО ДОЛАУРУС""","590831777","6459ce8e","T5275-S0001","common"
"ЗАО ""БиоСтарИнжиниринг""","808001182","668a18ff","T2619-S0001","common"
"ЗАО ""Биотехпром""","690567199","fcb988ab","T5699-S0001","common"
"ЗАО ""БирЖэкс""","192028137","f12c5df7","T4651-S0001","common"
"ЗАО ""БИСМАРТ""","101235837","3a14ff43","T5584-S0001","common"
"ЗАО ""Битлэнд""","291541890","d5519556","BITL-S0001","common"
"ЗАО ""БЛАНЖ""","100739488","61378176","T3022-S0001","common"
"ЗАО ""БМЦ""","100270996","9429a0a5","T5951-S0001","common"
"ЗАО ""БНБК""","690664593","c103b77f","T5758-S0001","common"
"ЗАО ""БНТП""","291071370","930717a3","T3974-S0001","common"
"ЗАО ""Бобруйский бровар""","790224401","08125028","T3018-S0001","common"
"ЗАО ""БобруйскМебель""","700060088","c94c042a","T3435-S0001","common"
"ЗАО ""Большие Славени""","700027562","4a9f8f39","T4668-S0001","common"
"ЗАО ""БОНЕМ""","100759001","2dccf1cc","T5424-S0001","common"
"ЗАО ""Борисовский завод ""Металлист""","600125742","7044d062","BZMet-S0002","common"
"ЗАО ""Ботоком""","290374233","dad80ac9","T3702-S0001","common"
"ЗАО ""Боярин-Сервис""","691446267","8b4034b2","T6460-S0001","common"
"ЗАО ""Бреминс""","200334238","b00a8f2b","T6148-S0001","common"
"ЗАО ""Брест-ОПТИМАЛ""","200062908","e477bce7","T5532-S0001","common"
"ЗАО ""Брестский завод растительных масел""","290496368","4a333860","T3676-S0001","common"
"ЗАО ""БрикетИстейт""","193200993","288edbae","T6364-S0001","common"
"ЗАО ""БРК""","200574861","667d06c9","T5566-S0001","common"
"ЗАО ""БРКвест""","101140339","f5249a84","T3145-S0001","common"
"ЗАО ""БРОК-БРЕСТ-ПКФ""","200002274","46a77f5d","T6164-S0007","common"
"ЗАО ""БРОК-БРЕСТ-ПКФ""","200002274","3e8e7a59","T6164-S0008P","preferred"
"ЗАО ""БРОК-СВ","100428917","264b304f","T5842-S0001","common"
"ЗАО ""БРОСТОК""","101222943","8e8cba37","T4089-S0001","common"
"ЗАО ""БСБ Банк""","807000069","059f69c9","T2705-S0006","common"
"ЗАО ""БСБ Банк""","807000069","6a49a651","T2705-S0007P","preferred"
"ЗАО ""БСМЗ""","790796751","fc3d540e","T4438-S0001","common"
"ЗАО ""Б Софт Лаборатория""","190491117","d51ad280","T5311-S0001","common"
"ЗАО ""БСТ""","101017013","ec5220db","T4873-S0001","common"
"ЗАО ""БТЭ""","100138662","d4ed12b9","T3929-S0001","common"
"ЗАО ""БТЭФК""","190043479","b616ebad","T5588-S0001","common"
"ЗАО ""БудТехМил""","100950748","a926295e","T3816-S0001","common"
"ЗАО ""Бытовые машины и приборы""","300207577","a97dd0f7","T5554-S0001","common"
"ЗАО ""БЫТТЕХНОСЕРВИС""","100830948","80d637ec","T6046-S0003","common"
"ЗАО ""ВАДАРИНА""","391564078","5e2168db","T6099-S0001","common"
"ЗАО ""Валинор""","192517733","2b824be5","T5277-S0001","common"
"ЗАО ""ВАРИА-СЕРВИС""","100142717","7a943247","T5641-S0001","common"
"ЗАО ""Ваш Ассистанс""","192289319","fddd442e","T4913-S0001","common"
"ЗАО ""Вектор Капитал Групп""","193519098","f8331db2","-S0001","common"
"ЗАО ""ВЕНДИГО""","100004786","e24f2cc1","T4939-S0001","common"
"ЗАО ""Верлион""","191785632","90a3cbf4","T4385-S0001","common"
"ЗАО ""Вертол-Инвест""","691700880","6558679d","T6347-S0001","common"
"ЗАО ""ВЕРТРАГИЯ""","101158209","f6390bb2","T3026-S0001","common"
"ЗАО ""ВЕСТФАЛИЯСЕРВИС""","291053525","9d3860c8","T4288-S0001","common"
